baseMean	log2FoldChange	lfcSE	pvalue	padj
hsa-mir-1275	2.86980223606841	2.61071900754096	0.538761962721112	5.45840000432436e-09	9.50612260493372e-08
hsa-mir-1291	1.34916108292543	1.63220650460679	0.434785057523898	1.84121467021207e-05	0.000192896005683936
hsa-mir-1304	1.48851626845431	1.69109062604883	0.572194986861418	0.000368840001951008	0.00311078265796417
hsa-mir-141	3782.1700050918	1.02888658586425	0.151157278734469	7.4574002627188e-14	2.27281221643316e-12
hsa-mir-148a	148595.129076029	1.19312296441728	0.142779488066539	1.18534432991521e-19	7.22521248371047e-18
hsa-mir-153-1	7.8096845813882	2.15054219694953	0.250018213879172	6.68969520580208e-21	4.72151645841084e-19
hsa-mir-153-2	83.5870756880223	2.4932541337129	0.177939135501121	2.86782018261095e-52	3.84574686488129e-49
hsa-mir-182	34860.6318762652	1.51067200153368	0.149039264915541	4.8591547348703e-28	9.30875214208725e-26
hsa-mir-183	11898.2541801327	1.53628629424765	0.151203149851271	3.253644985652e-28	7.27189654293222e-26
hsa-mir-190b	1.74413268215772	1.09220644992754	0.480559463898042	0.00122343941581981	0.00921703514951891
hsa-mir-19a	61.974529841149	1.02052250105057	0.12365422751844	3.0887511620803e-18	1.523436417912e-16
hsa-mir-200c	27192.9572522077	1.2995033226391	0.136102649771756	1.57535667901324e-24	1.50896664754054e-22
hsa-mir-20a	520.749858902686	1.04866018379208	0.0947777865779467	1.3372614809308e-30	4.48316911482051e-28
hsa-mir-20b	535.277284916094	1.04461464492199	0.153959626909268	6.56983381484385e-14	2.04887142923386e-12
hsa-mir-3074	12.8077768926944	1.65813377021404	0.175765979759443	2.84359117332629e-23	2.5421705089537e-21
hsa-mir-3170	1.34902044854954	1.59825776924011	0.450363683540855	2.29569950565529e-05	0.000238645971866957
hsa-mir-3607	111.745474716455	1.21677072413052	0.159877525372298	8.16293095721891e-17	3.12756868960873e-15
hsa-mir-3614	1.55493811424644	1.01533801162193	0.471384741939219	0.00260652678168056	0.0181106342706406
hsa-mir-3651	2.32947282355796	2.360310571679	0.393959857484018	5.79238525381566e-11	1.21368572271356e-09
hsa-mir-3653	11.9194772028735	1.42096625591134	0.172028119193766	1.92045863084217e-18	9.90513470753596e-17
hsa-mir-375	215855.207116788	2.13195654586397	0.265355845710174	2.05925988460395e-21	1.62439265014935e-19
hsa-mir-4449	2.29736016528548	2.33003548759773	0.471273008190306	9.24172747418677e-09	1.5149232511757e-07
hsa-mir-4473	1.31252248394039	1.18805556667546	0.425307305549191	0.00050478651181326	0.00408534588113903
hsa-mir-5586	5.29822273716294	1.27347457912728	0.206184184470644	3.11218172310781e-11	7.19557877704754e-10
hsa-mir-5687	2.55886277115329	1.12790853316694	0.325865780520555	3.49147263526514e-05	0.000354701879082618
hsa-mir-5694	1.18420968999553	5.23386996226204	1.80748766170157	0.00460712906210435	0.0304342860703544
hsa-mir-5706	2.23586281823518	1.41648272558084	0.357864764467167	3.10478649378365e-06	3.81974191574667e-05
hsa-mir-615	2.70460363100397	3.3197634397046	0.561819284280055	7.43604902808663e-12	1.81304395393894e-10
hsa-mir-616	3.50617832937794	1.11483764734705	0.269460579882821	2.31338425353702e-06	2.89929746167584e-05
hsa-mir-6715b	7.01015253697726	1.5457500301831	0.68362974095174	7.22485012012784e-05	0.000717668445266032
hsa-mir-708	69.0492833011392	1.15212050736197	0.129780668404423	4.02892902702292e-21	3.00155212513208e-19
hsa-mir-93	6832.60117405542	1.16685673490718	0.0844778663059981	5.99909308216525e-46	4.0223919115918e-43
hsa-mir-96	56.9011571213335	1.73219917205444	0.17749916338954	1.84149010546319e-26	2.74382025714015e-24
hsa-mir-1258	8.23808091651966	-1.09023443684971	0.27660514500932	1.38290131336185e-06	1.7775032831118e-05
hsa-mir-133b	179.770395862197	-1.27025600926017	0.160450088262608	4.46944960539662e-18	1.99784397361229e-16
hsa-mir-135b	5.92242085466085	-1.1695906386909	0.310906731130768	3.4492120181519e-06	4.20490301485609e-05
hsa-mir-184	29.0801838152522	-2.66385298412652	0.424626943305495	6.20552669413474e-17	2.44753273436314e-15
hsa-mir-187	99.3334877527154	-2.7840712331861	0.275484482540773	1.53235880606671e-33	6.84964386311821e-31
hsa-mir-196a-1	8.39655651053537	-1.11885156606167	0.23720645021654	5.42465471496894e-08	7.99391425579489e-07
hsa-mir-203b	12.2435290422333	-1.5636689528058	0.328183720116237	1.87668614021545e-09	3.44744673154646e-08
hsa-mir-204	181.747408255417	-1.30350592500913	0.178809669909023	5.12101907614419e-16	1.85602340029983e-14
hsa-mir-206	447.961557642282	-1.65190501333119	0.962091690728087	8.368837028815e-06	9.35146086656946e-05
hsa-mir-221	1512.66995726042	-1.26287967294214	0.118514531736179	1.91361375945019e-29	5.13231210284542e-27
hsa-mir-23c	11.3706162140684	-2.47112308503934	0.324799136316658	4.45189072640732e-19	2.48749394338009e-17
hsa-mir-4770	1.93975685803011	-1.28419343442308	0.327233898892652	7.79602845223882e-06	8.93389583983863e-05
hsa-mir-488	2.32818901004082	-2.11278685031485	0.485339923830572	5.49764045129193e-07	7.4468038840227e-06
hsa-mir-490	18.1993746255084	-2.73462513071105	0.691042025458079	1.20376731693629e-08	1.94488189398984e-07
hsa-mir-514a-1	3.04624874510555	-1.1328322907299	0.611879850022891	0.00141175363827353	0.0104019869721143
hsa-mir-541	1.19915430152246	-1.112390395808	0.563055980606006	0.00727752610952889	0.0449730991376878
hsa-mir-6718	4.45666150447817	-1.45685892906074	0.701544348702597	0.000776060886034563	0.0060155933420367
hsa-mir-675	23.6755846933207	-1.75789804454756	0.342816008457721	3.39908634179669e-11	7.7257199734735e-10
hsa-mir-760	2.85328069839244	-1.07640038045577	0.266255363546569	5.60467553334813e-06	6.59286832475425e-05
hsa-mir-767	3.6615339476024	-1.82122996796776	0.897805560200667	0.000696505510510189	0.00543031331159397
hsa-mir-873	2.73251682452892	-2.50519643776223	0.480606081592407	1.01495357224245e-09	1.916975690672e-08
hsa-mir-934	4.96667381372932	-1.10787705771989	0.258305960075901	8.95461905213797e-07	1.18892516325911e-05
