TCGA-CH-5761-01A	TCGA-CH-5761-11A	TCGA-CH-5768-01A	TCGA-CH-5768-11A	TCGA-CH-5769-11A	TCGA-CH-5769-01A	TCGA-EJ-7115-01A	TCGA-EJ-7115-11A	TCGA-EJ-7123-01A	TCGA-EJ-7123-11A	TCGA-EJ-7125-11A	TCGA-EJ-7125-01A	TCGA-EJ-7314-11A	TCGA-EJ-7314-01A	TCGA-EJ-7315-11A	TCGA-EJ-7315-01A	TCGA-EJ-7317-11A	TCGA-EJ-7317-01A	TCGA-EJ-7321-01A	TCGA-EJ-7321-11A	TCGA-EJ-7327-11A	TCGA-EJ-7327-01A	TCGA-EJ-7328-01A	TCGA-EJ-7328-11A	TCGA-EJ-7330-01A	TCGA-EJ-7330-11A	TCGA-EJ-7331-11A	TCGA-EJ-7331-01A	TCGA-EJ-7781-11A	TCGA-EJ-7781-01A	TCGA-EJ-7782-01A	TCGA-EJ-7782-11A	TCGA-EJ-7783-01A	TCGA-EJ-7783-11A	TCGA-EJ-7784-01A	TCGA-EJ-7784-11A	TCGA-EJ-7785-01A	TCGA-EJ-7785-11A	TCGA-EJ-7786-01A	TCGA-EJ-7786-11A	TCGA-EJ-7789-11A	TCGA-EJ-7789-01A	TCGA-EJ-7792-01A	TCGA-EJ-7792-11A	TCGA-EJ-7793-01A	TCGA-EJ-7793-11A	TCGA-EJ-7794-01A	TCGA-EJ-7794-11A	TCGA-EJ-7797-11A	TCGA-EJ-7797-01A	TCGA-EJ-A8FO-01A	TCGA-EJ-A8FO-11A	TCGA-G9-6333-11A	TCGA-G9-6333-01A	TCGA-G9-6342-01A	TCGA-G9-6342-11A	TCGA-G9-6348-01A	TCGA-G9-6348-11A	TCGA-G9-6351-11A	TCGA-G9-6351-01A	TCGA-G9-6356-01A	TCGA-G9-6356-11A	TCGA-G9-6362-11A	TCGA-G9-6362-01A	TCGA-G9-6363-01A	TCGA-G9-6363-11A	TCGA-G9-6365-11A	TCGA-G9-6365-01A	TCGA-G9-6384-11A	TCGA-G9-6384-01A	TCGA-G9-6496-01A	TCGA-G9-6496-11A	TCGA-G9-6499-01A	TCGA-G9-6499-11A	TCGA-HC-7211-11A	TCGA-HC-7211-01A	TCGA-HC-7737-11A	TCGA-HC-7737-01A	TCGA-HC-7738-01A	TCGA-HC-7738-11A	TCGA-HC-7740-01A	TCGA-HC-7740-11A	TCGA-HC-7742-11A	TCGA-HC-7742-01A	TCGA-HC-7745-01A	TCGA-HC-7745-11A	TCGA-HC-7747-01A	TCGA-HC-7747-11A	TCGA-HC-7752-01A	TCGA-HC-7752-11A	TCGA-HC-7819-11A	TCGA-HC-7819-01A	TCGA-HC-8258-01A	TCGA-HC-8258-11A	TCGA-HC-8259-01A	TCGA-HC-8259-11A	TCGA-HC-8260-01A	TCGA-HC-8260-11A	TCGA-HC-8262-11A	TCGA-HC-8262-01A	TCGA-J4-A83J-01A	TCGA-J4-A83J-11A
hsa-let-7a-1	33064	63336	40694	57626	37583	40233	18534	12424	82925	27844	37713	44072	39037	46089	26326	47072	18056	26019	51384	25404	34929	38101	33787	18578	30849	13365	24182	29676	17157	13983	31824	45961	35504	22831	25597	40995	48215	25821	27968	23244	17800	13971	27393	20073	38496	19040	26892	12570	32817	26103	47400	98606	51707	68618	43009	43689	29100	21103	29689	29058	37622	16998	17823	29191	29533	66811	97585	34140	13759	28251	20540	25413	38794	28459	12171	18627	17056	35638	18210	24027	39693	12900	24394	32275	60252	22265	25999	15451	17272	13562	18140	27225	40869	62744	31040	31765	31259	25262	39213	31290	76876	62357
hsa-let-7a-2	32861	63345	40662	57886	36898	40079	18317	12237	82265	28241	37553	43922	39032	46376	26449	47118	18036	25894	51537	24967	34627	38222	33879	18553	30929	13199	23719	29313	17111	13696	31421	45452	35341	22896	25870	41033	47943	25537	28028	23577	17676	13690	26939	19911	38739	19269	26774	12690	33095	26200	47397	100143	51435	68298	42651	43974	29119	20997	29820	29441	37546	17315	17940	29097	29297	66080	97702	33765	13598	28240	20472	25429	38460	28257	12231	18250	16690	35690	18335	24249	39787	12774	24708	32899	60130	22129	26048	15445	17146	13388	18081	27053	40581	62356	31346	32078	31219	25285	39164	31432	76844	62452
hsa-let-7a-3	33379	63566	40910	57470	37313	40128	18600	12566	82353	28039	37644	44083	39160	46842	26758	47377	18258	25873	51277	24875	35099	38249	34121	18852	30865	13234	23907	29344	17244	13822	31812	45735	35235	23146	25865	41365	47714	25950	27891	23658	17734	13757	27444	20068	39312	19396	26761	12499	33206	25817	47301	99437	51735	68599	42642	43776	28963	20781	29682	29358	37606	17149	18103	29090	29514	66426	98271	34148	13552	28133	20370	25490	38488	28244	12309	18476	16618	35652	18399	24216	39428	13254	24480	32673	60167	22223	26068	15840	17252	13597	18145	27070	40743	62365	31245	31939	31711	25584	38855	31144	76759	62960
hsa-let-7b	25919	44038	24322	42801	30546	33117	22170	19325	62547	57495	54576	28550	59377	34248	54315	63551	39371	36516	35001	36443	41233	58903	44574	29049	45381	20214	29372	38959	28907	23310	36838	27771	43570	48393	35991	22872	63008	38246	44024	37649	14374	10322	37955	14230	37782	28853	38399	16675	48886	28470	46076	98270	61140	49284	43980	55864	17639	18843	37984	35324	22998	10295	14598	29018	34454	61535	108084	26787	25174	28102	14905	20789	31350	48314	21775	25409	35337	54856	22629	34648	48696	22538	30775	49492	49484	31669	15432	25765	19027	21093	25275	42664	32343	77305	31668	33203	29629	26412	36054	27243	42500	57235
hsa-let-7c	11419	35118	18218	41376	16644	21656	16673	13646	69783	45909	59017	24161	68982	36692	38398	29225	22954	41035	15057	28075	28805	29273	21663	41440	37973	22493	40884	34987	34167	15048	23045	44801	24818	36387	14683	32568	46889	46482	32318	39351	24828	11692	36992	22524	18510	20029	40455	18228	60442	15510	28752	95837	53017	71036	19718	44931	15820	18121	24851	21893	20941	16733	26397	10578	29025	46252	97098	28307	17076	12241	18641	27058	24326	29793	6159	26077	13464	52165	14368	20173	51522	7144	26141	29488	42527	17426	20781	10290	12139	13953	22338	10933	38471	27574	14554	31865	22696	23683	35541	13082	53199	62909
hsa-let-7d	798	1614	826	1482	960	904	848	401	1513	1260	1000	953	1012	1334	770	1838	595	808	1095	676	634	1523	1033	589	1382	437	590	1119	735	743	1571	789	1550	959	841	864	1502	710	843	571	440	594	1430	529	890	729	1021	503	759	765	1216	1963	1780	1421	954	1361	801	1008	1212	975	1023	947	922	936	816	2386	2778	1250	849	742	544	933	886	904	717	693	738	1388	623	1163	1614	855	663	1480	1826	1033	807	910	824	530	534	938	1010	1986	725	785	837	805	660	575	939	2103
hsa-let-7e	2231	6480	2591	5595	2989	3442	1251	1020	5705	4178	2746	5587	5557	2913	2577	2692	1514	1866	3113	2555	1569	3527	1295	2086	2414	1262	2383	2271	2360	1171	2018	2440	3670	3598	1227	2577	5174	2878	2336	2984	957	480	2652	1409	3511	2482	2281	1170	3281	2144	4207	17891	5721	6271	2731	4446	1839	2053	2996	1858	2930	1122	2765	1920	2167	5968	10205	3560	1569	1898	1043	3251	3547	2727	1214	931	1756	2100	1148	2756	3421	1475	1834	2965	4833	3364	1067	1553	837	918	1243	1357	3545	7758	2848	3218	2012	2431	3542	2607	3524	8065
hsa-let-7f-1	15756	46262	23197	37337	21106	23494	5936	3785	30786	8584	11832	13622	12093	15024	7821	10477	4595	4845	16867	8369	8094	11346	9424	6135	8714	4847	8591	7363	5511	3227	6778	20226	10139	7827	5609	18539	13816	8845	6777	8168	7049	2230	7485	9003	13189	6322	7763	4769	10268	8095	16839	51401	18578	24448	11010	12855	21037	10889	8407	7096	22680	14282	18169	14013	13241	42356	48461	18579	3659	10708	7605	17543	13673	6398	3574	4371	4553	9253	3346	8760	11524	3763	7400	8135	21993	8303	13924	4869	4238	3921	5187	4746	18315	26026	8872	12450	8810	9230	17443	10819	30028	29862
hsa-let-7f-2	15986	46990	23785	37501	21157	24163	6237	3795	32233	8652	11923	14286	12248	15009	7890	10666	4587	5128	17633	8511	8433	11939	9718	6269	9041	4941	8746	7737	5768	3270	7060	20515	10606	8044	5756	18862	14046	8779	6632	8319	7123	2564	7583	8894	13564	6291	7900	4881	10321	8539	17391	51854	18615	25752	11086	13019	21605	11007	8528	7294	22885	14744	18939	14157	13647	42674	48870	18547	3673	10644	7755	18136	13974	6339	3690	4350	4605	9634	3460	8648	11753	3800	7575	8185	22565	8196	14320	4732	4350	3916	5244	4726	18659	26330	9211	12605	9347	9384	17737	11075	31381	30775
hsa-let-7g	1152	2474	1480	2044	1343	1493	1336	769	3231	1768	2141	1860	1924	2815	1307	2247	904	1107	2317	1042	1401	2482	2248	1285	2038	1020	1474	1666	1087	896	1745	2245	2002	1442	1382	2404	2244	1470	1365	1204	922	509	1870	1215	1683	885	1533	898	1170	1150	2160	4719	3204	3357	1752	2355	1533	1217	1702	1323	1328	988	1177	1107	1019	2899	3843	1550	1156	879	753	1147	1931	1214	1135	1126	1074	2330	942	1539	2608	1016	1060	1868	3748	1577	2097	1360	1548	972	946	1017	1953	3277	1231	1556	1018	1124	1686	1152	2819	4629
hsa-let-7i	551	932	521	553	649	994	612	401	1117	960	1108	703	1282	1792	1001	1296	504	503	708	743	514	814	902	815	1189	704	763	799	627	444	860	1093	1113	853	492	1017	1186	800	805	919	620	147	1409	652	591	607	840	487	999	770	744	2138	1297	1079	728	1168	640	441	742	565	642	521	714	451	705	1417	1441	792	372	385	346	531	546	636	433	386	533	1633	444	765	1284	378	547	978	1889	674	866	594	371	378	429	468	893	1393	506	571	833	491	1191	528	930	2471
hsa-mir-1-1	109	1581	588	1262	407	326	334	334	599	3116	1119	435	1064	426	579	323	425	158	377	455	365	405	486	669	561	390	826	356	752	295	173	718	692	1656	158	876	1091	961	691	492	361	9	1084	461	639	564	588	352	611	412	465	3961	1138	658	526	1472	409	669	769	488	510	114	576	108	574	1001	838	657	811	304	139	628	609	457	110	134	267	454	229	450	1000	150	638	451	478	586	505	176	189	418	439	140	408	867	422	801	266	677	930	239	419	1517
hsa-mir-1-2	104	1732	581	1210	432	385	358	297	641	3114	1110	400	1076	416	568	302	489	143	341	474	352	382	470	665	533	454	870	380	762	296	162	756	710	1732	160	930	1145	1021	804	528	422	19	1051	487	628	519	632	380	633	400	526	4272	1154	723	511	1510	402	690	855	533	475	139	620	145	593	1092	854	690	842	331	131	708	635	453	125	144	257	435	240	454	988	173	619	487	457	565	504	187	219	467	444	145	401	884	419	790	265	678	938	204	465	1635
hsa-mir-100	8900	54220	24737	48718	17885	18787	24881	24868	42901	103560	69122	20028	83127	103968	62118	52243	53087	26315	30415	47327	29228	45842	46990	61115	61994	29627	49115	38884	50009	31093	33813	91201	49768	71218	25940	84428	104960	57563	52574	51745	50325	7002	71336	41189	32398	36727	51114	44648	68688	32148	43893	107197	95155	51266	41475	85284	23290	21508	57045	46791	24041	28890	20373	11803	30809	75059	79577	38818	26954	14757	11483	30017	31532	46261	11866	14047	36842	73967	33706	36084	107288	15717	44209	56136	89640	33690	82494	17739	20051	28006	37991	21596	56566	40981	26840	48788	56568	35403	78688	28887	29696	71594
