TCGA-CH-5761-01A	TCGA-CH-5761-11A	TCGA-CH-5768-01A	TCGA-CH-5768-11A	TCGA-CH-5769-11A	TCGA-CH-5769-01A	TCGA-EJ-7115-01A	TCGA-EJ-7115-11A	TCGA-EJ-7123-01A	TCGA-EJ-7123-11A	TCGA-EJ-7125-11A	TCGA-EJ-7125-01A	TCGA-EJ-7314-11A	TCGA-EJ-7314-01A	TCGA-EJ-7315-11A	TCGA-EJ-7315-01A	TCGA-EJ-7317-11A	TCGA-EJ-7317-01A	TCGA-EJ-7321-01A	TCGA-EJ-7321-11A	TCGA-EJ-7327-11A	TCGA-EJ-7327-01A	TCGA-EJ-7328-01A	TCGA-EJ-7328-11A	TCGA-EJ-7330-01A	TCGA-EJ-7330-11A	TCGA-EJ-7331-11A	TCGA-EJ-7331-01A	TCGA-EJ-7781-11A	TCGA-EJ-7781-01A	TCGA-EJ-7782-01A	TCGA-EJ-7782-11A	TCGA-EJ-7783-01A	TCGA-EJ-7783-11A	TCGA-EJ-7784-01A	TCGA-EJ-7784-11A	TCGA-EJ-7785-01A	TCGA-EJ-7785-11A	TCGA-EJ-7786-01A	TCGA-EJ-7786-11A	TCGA-EJ-7789-11A	TCGA-EJ-7789-01A	TCGA-EJ-7792-01A	TCGA-EJ-7792-11A	TCGA-EJ-7793-01A	TCGA-EJ-7793-11A	TCGA-EJ-7794-01A	TCGA-EJ-7794-11A	TCGA-EJ-7797-11A	TCGA-EJ-7797-01A	TCGA-EJ-A8FO-01A	TCGA-EJ-A8FO-11A	TCGA-G9-6333-11A	TCGA-G9-6333-01A	TCGA-G9-6342-01A	TCGA-G9-6342-11A	TCGA-G9-6348-01A	TCGA-G9-6348-11A	TCGA-G9-6351-11A	TCGA-G9-6351-01A	TCGA-G9-6356-01A	TCGA-G9-6356-11A	TCGA-G9-6362-11A	TCGA-G9-6362-01A	TCGA-G9-6363-01A	TCGA-G9-6363-11A	TCGA-G9-6365-11A	TCGA-G9-6365-01A	TCGA-G9-6384-11A	TCGA-G9-6384-01A	TCGA-G9-6496-01A	TCGA-G9-6496-11A	TCGA-G9-6499-01A	TCGA-G9-6499-11A	TCGA-HC-7211-11A	TCGA-HC-7211-01A	TCGA-HC-7737-11A	TCGA-HC-7737-01A	TCGA-HC-7738-01A	TCGA-HC-7738-11A	TCGA-HC-7740-01A	TCGA-HC-7740-11A	TCGA-HC-7742-11A	TCGA-HC-7742-01A	TCGA-HC-7745-01A	TCGA-HC-7745-11A	TCGA-HC-7747-01A	TCGA-HC-7747-11A	TCGA-HC-7752-01A	TCGA-HC-7752-11A	TCGA-HC-7819-11A	TCGA-HC-7819-01A	TCGA-HC-8258-01A	TCGA-HC-8258-11A	TCGA-HC-8259-01A	TCGA-HC-8259-11A	TCGA-HC-8260-01A	TCGA-HC-8260-11A	TCGA-HC-8262-11A	TCGA-HC-8262-01A	TCGA-J4-A83J-01A	TCGA-J4-A83J-11A
hsa-let-7a-1	15.8804809697507	15.6637020296276	15.6288940526355	15.6853895437192	15.4484995044019	15.4333049941806	14.2093967751982	14.4370852186527	15.8241743596302	14.0792493854951	14.5350760405675	15.4284409183137	14.8639955246718	14.7064733490387	14.706663495602	14.9042082505093	14.5302639304218	14.8484620834132	15.7069807242396	14.8857045890076	15.248909867984	14.7303969999477	14.7511859076096	14.4124753832318	14.3086402447735	14.2106811044934	14.5889109458049	14.6050673503841	14.2627998882421	14.1041995184479	14.6879509606335	15.473140995872	14.5071433522976	14.1952340088474	14.9651521264493	15.2562607977073	14.7975334639626	14.6598268810398	14.4137141378768	14.5655314501419	14.8285597567812	15.220964589351	14.0479701213074	14.868501014182	15.3051995184232	14.6294799817214	14.4849652366485	14.2747958019265	15.1266857066834	14.879463703817	15.3902107057901	15.5717608848335	14.5994949599068	15.4016549218331	15.1895328020172	14.5723962274578	15.0815821032816	14.7497674882561	14.5727233360887	14.8217419944321	15.4269887822102	14.7242314393959	14.2224227830274	15.409143598392	15.1296605514659	15.2073914680853	15.6105267958391	14.9010019207909	14.0958455198831	15.5469814321492	15.1467099495848	14.8858050491941	15.2540911945406	14.6463974281972	14.3007498782061	14.3791019969747	14.3408820952517	14.3495800684776	14.6489952109911	14.3477194427738	14.2954816793816	14.2127329827042	14.769060292779	14.3577282122646	14.765594870159	14.3546348600406	14.2791870738291	14.3007510581989	14.3738552695167	14.1752953257433	14.7339297660951	15.1232193812939	15.1535796727506	15.2693406934302	15.3583861456418	14.9709531043873	14.9923919003957	15.0335950172988	15.0779453383836	15.5554692376297	15.9383595817541	14.5718615805603
hsa-let-7a-2	15.8715995406017	15.6639069286259	15.6277596575187	15.6918812539468	15.4219759011955	15.4277751197275	14.1924268289437	14.4152286376092	15.8126506795916	14.0996466856709	14.5289483413729	15.4235249129138	14.8638108721826	14.7154214645777	14.713382471434	14.9056163274855	14.528666602913	14.8415199331966	15.7112682092468	14.860690901344	15.2363894874292	14.7349674780516	14.7551056197858	14.4105347578742	14.3123724098723	14.192672272521	14.5610472864039	14.5873280955997	14.2589312663061	14.0743203411484	14.6695812698979	15.4570828937612	14.5005113244401	14.1993304297544	14.9804463141849	15.257596674924	14.7893783249934	14.6438855533957	14.416802540384	14.5860335961588	14.818482486373	15.1916698827969	14.0238927045523	14.8568196211671	15.314272455942	14.6467123862421	14.4786273578973	14.2884871282282	15.1388476954103	14.8848107469819	15.3901194428215	15.5940644911835	14.591892948455	15.3949148298419	15.1774813611441	14.5817679385	15.0825231267886	14.7425087776385	14.5790690111799	14.8406181042631	15.4240730045473	14.7508659984249	14.2318509698667	15.4044928834445	15.1180931595188	15.1915293682421	15.6122546781014	14.8850796678514	14.0788871840941	15.546419859838	15.1419289100652	14.8867123815295	15.2416239178499	14.6361301689377	14.3078363327554	14.3496358278708	14.3096223560565	14.351681240223	14.6588556018749	14.3609733578919	14.2988902321439	14.1985897964742	14.7874968287796	14.3853243719247	14.7626731554674	14.3458054023763	14.2819003529581	14.3001913650757	14.3633038462303	14.1566895284608	14.72923382105	15.1140819316073	15.1433837159095	15.2603968894886	15.3725311019595	14.9850890290917	14.9905459265363	15.0349070184309	15.0761426607135	15.5619984863047	15.9377591518671	14.5740557260673
hsa-let-7a-3	15.8941551554373	15.668929228136	15.6365279771619	15.6814804499614	15.4381030917977	15.429536925467	14.2145188010782	14.4534637825923	15.8141924989056	14.0893042500113	14.5324366615059	15.4288007669747	14.8685305499569	14.7298332727636	14.7301250783488	14.9135188622831	14.5462985719262	14.8403503674757	15.7039746975966	14.8553691417994	15.2559102586209	14.7359853638761	14.7653656036402	14.4335752868241	14.3093874505843	14.1964880624963	14.5724262270939	14.5888515654919	14.2700883866643	14.0875142934859	14.6874073375567	15.4660331249835	14.4961820545329	14.2149783785761	14.9801676534716	15.2692157073411	14.782476492588	14.6670100657094	14.4097409766496	14.5909768581934	14.8232048117727	15.1987089396806	14.0506499178668	14.8681418883548	15.3354434340823	14.6561812306799	14.477927411286	14.266633493972	15.1436752443146	14.8635818456394	15.3871959754072	15.5838624310162	14.6002752506974	15.4012556069862	15.1771770909306	14.5752635264778	15.0747785982272	14.7276034365545	14.5723834673653	14.836548368752	15.4263754238107	14.7369799079236	14.2448840916315	15.4041459530775	15.1287327035558	15.199059026285	15.6206284190506	14.9013396884496	14.0740051052139	15.5409458576625	15.1347275110074	14.8901663605975	15.2426732260823	14.6354668954564	14.3169969899126	14.3673720497706	14.3033923611665	14.3501460696701	14.6638781558329	14.3590108694213	14.2858288803828	14.2517422894782	14.7741332625939	14.3753904709844	14.763559874566	14.3519138784333	14.2830063490301	14.3365821303074	14.3721855842906	14.1790090576086	14.7343270258633	15.1149876333297	15.1491278055021	15.2606049782407	15.3678776579376	14.9788285046373	15.013088892797	15.0518553373286	15.0647225688213	15.548725113765	15.9361630454573	14.5857323322029
hsa-let-7b	15.529383956552	15.1397100580302	14.886788000206	15.2565359537345	15.1495765772922	15.1526615199649	14.4675391788977	15.0738806409197	15.4174974323069	15.124313906095	15.0678416050841	14.8024852293774	15.468669877717	14.278506828432	15.7508754217677	15.3369685555399	15.6541467485019	15.3370964814851	15.1533529167442	15.4059529687572	15.488151462788	15.3584708177135	15.1506239628373	15.0568108870011	14.8649724375094	14.8069731019755	14.8691769473229	14.9974047243163	15.0147236893775	14.8407079277445	14.8988565216674	14.7467957331848	14.8022286410778	15.2780879944194	15.4565088926078	14.4150782742817	15.1833082313614	15.2261673531959	15.0676633882989	15.2607521313112	14.520420448448	14.7845641245333	14.5178984830535	14.3726434534761	15.2782057937805	15.2287150252282	14.9984159349105	14.6820788703254	15.701353640793	15.0045975018483	15.3493617022854	15.5668388749716	14.8410422100383	14.9244929610003	15.2217218823593	14.9267431766616	14.3599637940521	14.5864949266415	14.9278842883071	15.1032486158321	14.7174075855139	14.0016215061696	13.9348430967269	15.4005726758456	15.3518696794991	15.0887895036722	15.7578829374358	14.5513745507495	14.9665304475601	15.5393560436124	14.6844217388538	14.5963065739139	14.9469281064699	15.4094129674548	15.1392373767971	14.826623587331	15.3909409321167	14.9712468428375	14.9621806444131	14.8753388863995	14.5900901336228	15.0169613834906	15.1040422242832	14.9739473276733	14.4818114094161	14.8624502800374	13.527817071471	15.0377940826481	14.5133216568821	14.8118384791498	15.2121168152468	15.7709643775022	14.8162702404134	15.5702639722526	15.3872674151319	15.034783181669	14.915187154603	15.0977759028197	14.9568581197057	15.3557572489394	15.083723739292	14.4483316660771
hsa-let-7c	14.347715805627	14.8134091751824	14.4702638046119	15.2077153171765	14.2743703727127	14.5403464457818	14.0569349500909	14.5722974021827	15.5753524111605	14.7998928014453	15.1806316023722	14.5618891119382	15.6848820091845	14.3778395604437	15.2508095612855	14.2172138533266	14.8762269011716	15.5053329161978	13.9376167560397	15.0298288935562	14.9709880036311	14.3505129800216	14.1106351684584	15.5690503380038	14.6080785745903	14.9609750943207	15.345954293862	14.8423841446251	15.2557514506401	14.2099617908184	14.2227763655716	15.4362809512658	13.991172256505	14.8669928909459	14.164107928754	14.9244910251805	14.7573344312154	15.507374631932	14.6220668955744	15.3245037087153	15.3083222724474	14.9642232350214	14.4808592701481	15.0345850745525	14.2496953257482	14.702471167162	15.073612826814	14.8104390310948	16.0073625776723	14.1292109819944	14.6694954448695	15.5306882164326	14.6355568128451	15.4515916568124	14.0654734442063	14.6127990354259	14.2031290704886	14.5301834595584	14.3163682311438	14.4136574661764	14.5823525327167	14.7015822966326	14.7884832006898	13.9460504500785	15.1046451770809	14.6772179190491	15.6033123533883	14.6309249420502	14.4070656886267	14.3413223580205	15.0068477771387	14.9762258021695	14.5812701836236	14.7124269550473	13.3197004351182	14.8640321510231	14.0001434433727	14.8987337593118	14.3074746286794	14.0957976299166	14.6714004276015	13.3615962614681	14.8687675217017	14.2275909458595	14.2634695483159	14.001545744182	13.9564219487098	13.7151318145795	13.8657413617177	14.2162496275308	15.0340226172575	13.8083844813882	15.06640176311	14.0842608932249	14.2665827704243	14.9754844488569	14.5309488001907	14.9405450686833	14.9361983799259	14.298325496617	15.4074645916117	14.5845643329502
hsa-let-7d	10.5301097797845	10.3939339940913	10.0379829233744	10.4282472405889	10.1859647277336	9.99001278880477	9.79587229283724	9.52825674724123	10.0786525458165	9.65364145647996	9.34889652729471	9.93121362875949	9.63603809562029	9.63731624954963	9.65217175734349	10.2522547802314	9.64777898380369	9.87443671789249	10.1832113003658	9.69374869616595	9.51088423763922	10.1149141221612	9.75766256897237	9.47942028625099	9.86305602544213	9.32724720409747	9.28508343986454	9.90999691259554	9.75548962164825	9.90357192426604	10.3718968723087	9.65046508749047	10.020728227941	9.66208022886202	10.0679889137472	9.72722524418875	9.82916894787326	9.52027553723859	9.41011034406189	9.27203360690928	9.53502933560902	10.6848303589239	9.82374437528829	9.66345309317262	9.90502787162317	9.95537658511376	9.80242041423829	9.67150050244576	9.73152217273465	9.82323289777356	10.1349290347741	9.95473908014749	9.77646963617649	9.84422261397386	9.7340336309866	9.60999925306681	9.93228987274852	10.3859966655808	9.99024894789909	9.9573395190583	10.2533115506703	10.5792736924662	9.98141107952863	10.4694025787308	9.98461328298576	10.4237573243085	10.4987341697661	10.1581278941334	10.1062356489486	10.3220264841498	9.94162263382555	10.14706631515	9.83796222673411	9.70926820639376	10.2417581869892	9.67083128274337	9.84565946438829	9.70631531016451	9.8160167485737	10.0102816193352	9.71409939570698	10.3221389413234	9.60999745409658	9.94384753131964	9.75934331747928	9.95731114766064	9.32100688717432	10.2414071398184	10.0154154615463	9.5416835921502	9.68772094113015	10.2901567273282	9.85085919692889	10.3135911047517	9.97139832501217	9.67294869144803	9.80640032488086	10.091848178443	9.24059179628789	9.8261962183655	9.62560586205485	9.7207266780011
hsa-let-7e	11.9986824148384	12.3804290842709	11.6654029534891	12.3268167056706	11.804848714409	11.8943619608741	10.3446685906664	10.8474520733694	11.9705072011561	11.3537428058217	10.7733450823751	12.4539808450162	12.0583242681011	10.7411533656089	11.3654980624698	10.7940611713747	10.969676284314	11.0616085237399	11.6717722437037	11.581960221547	10.7906528332702	11.3091723215696	10.0759596393842	11.2698449981135	10.6522995056192	10.8229181306662	11.2582708828441	10.9133698886778	11.4115610668588	10.5470695727641	10.7275307940947	11.2508259892722	11.2454996024126	11.5390719399954	10.6031111476163	11.277345513428	11.5872090519885	11.5047551984096	10.8488618879524	11.6133932755239	10.631540414731	10.382225360945	10.697716683638	11.0508143870801	11.8587138087414	11.6988607267864	10.9412712306986	10.8658324618966	11.8129031015778	11.2860534205947	11.9042209448127	13.1124402254098	11.4343370156273	11.9575544933094	11.2256216100848	11.2878518811701	11.1118745046895	11.3994219370056	11.2761609238179	10.8715356256232	11.7534116753781	10.820489126152	11.5435968200083	11.4937506229273	11.3729171548411	11.7316750463624	12.3589016268545	11.6489147130184	10.9782390290164	11.6609686515397	10.8643175515326	11.9267613954061	11.8114712639393	11.2752334086867	10.9901118380901	10.0862643385973	11.0750288671124	10.2900924269059	10.6807810271925	11.2361182454608	10.7767122626739	11.0978124864203	11.0503501977895	10.9291694995888	11.1393669629832	11.6371120524906	9.71121533480839	11.0010241580076	10.0374977632495	10.3151545060439	10.8833392511697	10.8146358578631	11.6361281288276	12.2596565239105	11.9201974022633	11.6770266903369	11.0497532515316	11.6656499047448	11.6190243809291	11.9779089245191	11.5022339320125	11.6303370872043
hsa-let-7f-1	14.8117353389782	15.2107438107308	14.8185183829886	15.0596236024753	14.6166614085322	14.6577612419643	12.5705572951089	12.7257857093021	14.3956262920082	12.3859673036652	12.865811420625	13.7362260671038	13.1758431804713	13.0919256027276	12.9585809458209	12.7404005584015	12.560090165742	12.4284504706542	14.1011551020541	13.2860420701401	13.1422780542431	12.9856743031159	12.9122867452613	12.8171479851034	12.4890370656417	12.7505067729381	13.098356653389	12.598230113918	12.6280081662062	11.9951539844022	12.4614790681765	14.2898853041278	12.7026948652007	12.6542123345072	12.7787446263744	14.1124200305328	12.9973367327023	13.1167143550539	12.3734768420268	13.0592925530033	13.4939399652188	12.57828544772	12.1815190692315	13.7131083760142	13.7614239937601	13.0415734532673	12.6960928894382	12.8793496335866	13.4524665516041	13.1928380249976	13.8985550996385	14.6325179640121	13.1251509563952	13.9141916493689	13.2263294687695	12.8107715466482	14.6138648293113	13.7963388899709	12.7559561489699	12.7914836216137	14.6973373818548	14.4733014720121	14.2501279994962	14.3512254251413	13.9735021208468	14.550386963682	14.6013750426479	14.0241349383946	12.1902941371496	14.1485226210734	13.7148747002896	14.3516336760748	13.751172593302	12.4977309069028	12.5369260277785	12.2928917395642	12.4399460713529	12.4087535789686	12.2105896770235	12.8948814253515	12.5153306635513	12.4396212524855	13.0509021557793	12.3742817016653	13.3137349933727	12.9342658046028	13.3797748954084	12.6383741674731	12.3517501206154	12.3894915957237	12.930814545305	12.6075389010961	13.9967377695663	14.0010214228736	13.5535938452459	13.6212894054946	13.1679682601239	13.582774499467	13.9104783006808	14.0246596859257	14.5829727772507	13.5111271003028
hsa-let-7f-2	14.8326261319975	15.233256155102	14.8546033034168	15.065942335829	14.6201400576997	14.6982323270221	12.6416511511188	12.7295791874231	14.4618200638784	12.3973014364553	12.8768302885318	13.8047746853472	13.1941710774631	13.0904883512098	12.971216133973	12.7661068599902	12.5575859406794	12.5100128011616	14.1651462727884	13.3102591582469	13.2013212654659	13.0589661201074	12.9564743656049	12.8482201562779	12.5419723549218	12.7781247153085	13.1240858095798	12.6694480168783	12.6935280306496	12.0141426206103	12.520049034719	14.3103297000555	12.7674375758895	12.6935249614149	12.8159451649905	14.1373066489302	13.0210885861803	13.105937357103	12.342412837013	13.0856481230049	13.5089759853547	12.7789201489125	12.2001918003479	13.6955657363427	13.8018043568512	13.0345014792424	12.7212431992529	12.9127369658163	13.4598786643299	13.2696868511589	13.9450194238999	14.645165215235	13.128013875369	13.9890490488425	13.2362297964886	12.8290014918027	14.6522657022327	13.8118633177783	12.776503393062	12.8310587767532	14.7103076575069	14.5191849485179	14.3099387526259	14.3659587335806	14.0170114964643	14.5611674811939	14.6134886128517	14.0216514275438	12.1957761576822	14.139885160525	13.743004719391	14.3995417280093	13.7825351333201	12.4844193905863	12.5828289956558	12.2859761588385	12.4562613151084	12.4667223221532	12.2586901852996	12.8763743834901	12.5436060387411	12.4536783433622	13.084531008057	12.3830830209102	13.350693421841	12.9156093032462	13.4201451912354	12.5973517190525	12.3892160275516	12.3876587334872	12.9465349447854	12.6014692745714	14.0235456973986	14.0177515945216	13.6075890503944	13.6391068741533	13.2531191798498	13.6066017603052	13.9345558207606	14.0583524462032	14.6464964449921	13.5544894766601
hsa-let-7g	11.0528053801509	11.0014549634713	10.8652326296551	10.8853952412623	10.6621017351725	10.7007997291776	10.437868672868	10.4458618568568	11.156661206332	10.1303942308063	10.4196964301625	10.8791643660871	10.5429156993685	10.6924642059067	10.3983616188951	10.5371157711703	10.2369317227332	10.319023868233	11.2492597788523	10.3037885568518	10.629531729518	10.8077926546595	10.8584450334781	10.5793178410851	10.4118616874411	10.5201579161458	10.5736489910956	10.4727271154645	10.3074678730041	10.1677451074084	10.5209197713975	11.1318568836689	10.3826205357528	10.2366941136656	10.7723148620734	11.1780633951864	10.3961669037449	10.546522636872	10.0865734530813	10.319719697198	10.5785896764155	10.4654271753332	10.2020767053339	10.839622325588	10.8076575282802	10.2291940433471	10.3762530227375	10.4895404258554	10.3420023618285	10.3989416655296	10.9507448422568	11.2003255471725	10.6074380017036	11.0633487311709	10.5930013030788	10.3829286710489	10.8523342699972	10.6535263163861	10.4705985224813	10.388811342262	10.6234490077261	10.6395113181218	10.3265090365867	10.7078230083012	10.2985427616012	10.700397382239	10.9604861484213	10.4627918838009	10.5434600175369	10.5623894113127	10.4012051547928	10.4394699168123	10.9420219533518	10.1244341251862	10.8941834556136	10.3552836337842	10.3755614891603	10.4373929929692	10.3999119706358	10.4064850512223	10.3911777043743	10.5668939148982	10.270910013001	10.2726844478245	10.7768687146711	10.5560079807521	10.6662770965754	10.8118941186955	10.9099038780339	10.396157080868	10.494984563071	10.4047397406468	10.7846089266299	11.0256917415061	10.7214177859712	10.6396136733672	10.0821997995863	10.5647055331079	10.5597627527756	10.8101398948177	11.1830974423509	10.8372052567686
